⿱止\{11\}	{EABD}
⿱止𠂤	{EAC6}
⿱帚又	{EB1E}
⿱朱貝	{EAF0}
⿱叕酉	{EAAC}
⿱自侖	{EAB4}
⿱自龠	{EB5D}
⿱左⺝	{E968}
⿱⺈⿷⿹\{91\}𢑑𫜹	{E148}
⿱⺈旧	{EAB0}
⿱⺈黾	{EB93}
⿱⺊𠕁	{EAE6}
⿱龶皿	{EB91}
⿱龹貝	{EAA2}
⿱龹黑	{EA9A}
⿱龹土	{E83F}
⿱㐬皿	{E95E}
⿱㠭𧘇	{EB31}
⿱䒑亾	{EB23}
⿱䒑龰	{EAD9}
⿱䙲巳	{E93F}
⿱䶹䶹	{EB3C}
⿱𠂉\{15\}	{E885}
⿱𠂉巾	{E979}
⿱𠂉馬	{EB92}
⿱𠂉品	{EAC5}
⿱𠂉隹	{EB0D}
⿱𠂤止	{EA94}
⿱𠆢镸	{EACB}
⿱𠆢虫	{EA9C}
⿱𠆢亥	{EB18}
⿱𠆢毛	{EB46}
⿱𠆢木	{EAAB}
⿱𠆢亓	{EB3E}
⿱𠆢千	{EB62}
⿱𠆢音	{EABB}
⿱𠈌亏	{EB6F}
⿱𠘧口	{E8A5}
⿱𠫘囬	{EACE}
⿱𢆶大	{EAC3}
⿱𦍌⿻秀\{97\}	{EB2A}
⿱𦍌牛	{EAA1}
⿱𦦉巳	{EB20}
⿱𫜵寸	{EACF}
⿱𫜹⿰𫜹𫜹	{EAE3}
⿱𫡙一	⿻{E08F}北
⿱𭕄凶	{E901}
⿱𮂱旨	{EB0C}
⿱𱐔𣥖	⿰{E8AA}{E8AA}
⿱𱼀缶	{E8F6}
⿲彳⿱山(.+)攵	⿵{E824}$1
⿲彳⿳山一(.)攵	⿵{E824}$1
⿲弓者弓	{EB94}
⿲火辛火	{EB53}
⿲火言火	{E9D9}
⿲丿㠯巳	{EB50}
⿲月米几	{EB67}
⿳\{37\}一貝	{EB29}
⿳\{E032\}田⿱厶龰	{EB99}
⿳⿰巳巳一八	⿱{E82A}{E450}
⿳⿱㇒冈八夊	{EB0A}
⿳⿱艹罒冖	⿱{E9E1}
⿳⿳亠厶罒冖	⿱{EAD1}
⿳⿴𦥑車一	⿱{EB06}
⿳⿴𦥑同一	⿱{EAFD}
⿳㇒罒乑	{EAE9}
⿳㇒𭁨丂	{EAEA}
⿳㇒𱕻心	{EB8A}
⿳白穴方	{EAF4}
⿳艹八⿻丨⿱八⿵冂㸚	⿱艹{EB74}
⿳艹罒戉	{EB7C}
⿳禾𠆢水	黍
⿳宀一𣥂	{E8C3}
⿳十罒心	{E919}
⿳士乛工	{E8C2}
⿳亠⿳一卄一𧘇	{EAF7}
⿳亠⿻幺冖牛	⿱{EAEF}牛
⿳亠厶⿻廿木	⿱{E00A}{E135}
⿳亠㐅⿸厂彡	⿱文{EAD8}
⿳王一八	{EB2B}
⿳穴瓜㼌	{EA91}
⿳穴𠆢夕	{EADE}
⿳穴𠆢又	{EB80}
⿳自穴口	{EB08}
⿳⺊𫜹龰	{E93D}
⿳⺌日小	{EA9B}
⿳䒑{E9ED}女	{EAD7}
⿳𠂉一乙	{EB39}
⿳𣅽大氺	{EADA}
⿳𥫗一韭	{EB27}
⿳𫝀⿳巛冖厶	⿳{E0E8}{EAFE}
⿴\{11\}白	{EAE1}
⿴⿱㇒囗釆	{EA8D}
⿴北口	{E995}
⿴卝丨	{EAFC}
⿴囗夊	{EB66}
⿴囗㕣	{EB4A}
⿴囗𢆉	{EACD}
⿴𦥑囟	{EB7D}
⿵冂⿲糹丨虫	{EAFA}
⿵戊貝	{EAFF}
⿵戊禾	{EB37}
⿵戌小	{EAE7}
⿵戌𣥂	{EAD6}
⿵𰃦釆	{EA8F}
⿷匚炎	{EB6D}
⿸厂⿱黒土	{EAFB}
⿸厂炎	{EB26}
⿸辰寸	辱
⿸歹㔾	{EB36}
⿸耳力	{EAE0}
⿸耳又	取
⿸广⿱夾女	{EB88}
⿸广⿱廿	⿸{E85E}
⿸丆目	{EB60}
⿸虍匆	{EB3B}
⿸虍鱼	{EB95}
⿸户水	{EB49}
⿸尸⿱二火	{EB4F}
⿸廌去	{EAEB}
⿸𠂆⿻二巾	⿸{E024}{E117}
⿸𠂆万	{E90C}
⿸𠂇乂	{EB78}
⿹勹方	{EB3D}
⿹勹吉	{EB90}
⿹戈巾	{EAF8}
⿹戈吴	{EB4D}
⿹𢦏⿱口䒑	{EB0B}
⿹𢦏业	{EAC0}
